just checked my user timeline on my	user-timeline
my blackberry screen died on me	blackberry-screen
blackberry browser can't download from zshare or imeem. hip hop fail @robrush	blackberry-browser hip-@robrush hop-@robrush fail-@robrush
when i go out i realize i didn't synch feeddemon 3 with my blackberry.	i-i realize-i
@raxquel i thought you were going to get a blackberry  hahahha jk... you and jay jay gonna be pre twins!!! hahah! i wanna see it!	@raxquel-i blackberry-jk hahahha-jk jay-jay pre-twins
i want a blackberry storm or a prada 2 phone	blackberry-storm prada-phone
@seanchoe humm... am workin part time for	@seanchoe-humm part-time
spilled butter oil all over my blackberry while eating crab legs ... its all messed up now	butter-oil blackberry-while crab-legs
trying to find a free texas hold'em game for my blackberry and the search isn't going so well	free-texas
doesn't look like the blackberry is coming today  no new toy for me to play with!	new-toy
@cookiemonster82 @ktdp i thought about the blackberry but i really do like my iphone  i would buy a new one if this one is ruined	@cookiemonster82-i @ktdp-i iphone-i new-one
@lurizzle i miss my blackberry  ..... sooo much!!	@lurizzle-i blackberry-sooo
my blackberry was all messed up last night! made me wish i could have an iphone with my verizon plan even more	last-night verizon-plan
in my local primark. could have got a blackberry curve pay as you go on orange for the same price as i got my iphone for.  &lt;3 blackberry	local-primark blackberry-pay curve-pay orange-< same-price
arrrgha  i wish i had a blackberry	i-arrrgha wish-arrrgha
@blackberrygirl7 a. i wish i was napping by chris mays pool but i am at work   b. ppl here make me nuts!	@blackberrygirl7-a. i-i wish-i chris-pool mays-pool work-ppl b.-ppl
blackberry trouble...feeling handicapped	blackberry-handicapped trouble.feeling-handicapped
i need to get rid of this sprint instinct and cop a blackberry or somethin. can't tweet right on here	sprint-instinct
i really want a blackberry. but i guess i have to wait till november since sprint sucks	i-i guess-i
first scratch on my blackberry	first-scratch
@kdashmoney  use ur wifi preciously. what happened to thy blackberry?	ur-wifi
the palm pre cutting cheese: http://vimeo.com/4990760. my blackberry only cracks eggs.	palm-pre only-eggs cracks-eggs
looking for a black cover for my blackberry bold...why are they so ugly??	black-cover blackberry-bold.why
everyone either has the iphone or blackberry. im stuck with my razor for another year	iphone-im
i wish my cell carrier had more smartphone options.  only blackberry &amp; one windows mobile phone.  i don't want either.  i want a palm	cell-carrier smartphone-options only-blackberry mobile-phone
shizzzzzz!!! woke up this morning and my blackberry had committed suicide!...r.i.p. bold...heading to att for a new one	new-one
your device does not meet the system requirements that are needed to support blackberry messenger for software versions 4.0 and 4.1. wtf!	system-requirements blackberry-messenger software-4.0 versions-4.0 4.1-wtf
verizon users: lg or blackberry for the trip? (bb costs 2x as much for internet  )	verizon-users bb-costs
hmm ok so its not twitter berry its internet on my blackberry why wont the twitter for blackberry applications work for me	twitter-berry wont-twitter blackberry-applications
hmmm.. twitterberry causes blackberry to crash when i try to d/l updates. maybe i need to cut some of my news sources.	d/l-updates news-sources
....rebooting my blackberry. (or as @eckodabrat would say) &quot;rebooting my phone&quot; lmao	.-lmao
so went over budget w/ the fam.....all in all i have to give up my blackberry..can't pay mandatory internet anymore  i feel like i have	budget-w mandatory-internet
why oh why do i figure out 1 thing then need to learn another aka why the hell can't i play blips on my blackberry?? k time for sad face	play-blips k-time sad-face
my comps have been messin up sorry twitters wish i had a blackberry r sumthin 2 update from my fone but i dont	blackberry-update r-update sumthin-update i-dont
@doodle83 i have the blackberry storm and omg it's one sexy mother fizzle. sign on to aim tomorrow	@doodle83-i blackberry-storm sexy-fizzle mother-fizzle aim-tomorrow
i wish i can read korean on my blackberry  it would make my twittwer life easier.	twittwer-life
diagnostic name: &quot;blackberry thumb&quot;........be aware! i'm not texting for a month  http://bit.ly/164koq	diagnostic-name blackberry-thumb aware-i
@thedeetwitty blackberry pearl from verizon . . .is it still available? lol. i miss my bb	@thedeetwitty-pearl blackberry-pearl available-lol
ok never mind...no blackberry for me	mind.no-blackberry
i need to get a blackberry....too bad i'm on verizon and at&amp;t has the best ones	bad-i ones-best
@ock at a book store/restaurant/drinking rather to eating lol i don't know where my blackberry is	eating-lol
@oliviamunn i need 3g on my blackberry	i-3g need-3g
@mindila can you text your sister and ask her if my blackberry is lodged in the recliner?  i hoping not to be out 2 phones in one night	recliner-i
my blackberry case just disappeared...i'll have to question the kids in the morning	blackberry-case
the only thing stopping me from the blackberry curve 8900 is the web broswer	only-thing blackberry-8900 curve-8900 web-broswer
@michaelmillman better than iphone? i can't use eitherbecause of my carrier  i am resisting a blackberry...	iphone-@michaelmillman
upset over the blackberry! i am not materialistic!!! am i? i don't use it's internet capabilities so i don't need it...but this new one	internet-capabilities new-one
my blackberry wont turn on  i feel a little bit lost!	wont-turn little-bit
should i treat my iphone to an lv case?  but might have to get a blackberry in oz to get unlimited internet access	lv-case access-oz unlimited-internet
@benshephard do u use twitter berry? is it for blackberry fones coz mine wont let me use it!	u-twitter use-twitter blackberry-fones mine-wont
omg! i got a new gadget.. its a blackberry phone but i dont know how to connect it on the internet..  its kinda huge.. cool !!	omg-i new-gadget blackberry-phone huge-kinda cool-internet
having a hard time using blackberry	hard-time
and clearly...ii need to get me a blackberry...but ii love my sliide	blackberry.but-ii
@jessicaviberg mee tooo  want a blackberry soo baad !!	@jessicaviberg-tooo mee-tooo blackberry-soo
omg i only have £113 .96  i need more to get a blackberry lol	#-.96 113-.96 i-need blackberry-lol
@scott_fuller ughhdfkojdfklfadsj  im getting you a blackberry world	ughhdfkojdfklfadsj-im blackberry-world
grrr trying to register on the new @delicious_drips website but apparently theres a captcha that doesnt view on blackberry.  boo!	new-website @delicious_drips-website
the new blackberry.. kinda interesting.. i mis my snoooze button!	new-blackberry kinda-interesting snoooze-button
i really need to get a damn blackberry	damn-blackberry
@spedteacher i agree! i picked up some followers after i mentioned my blackberry to you a few days ago.	@spedteacher-i few-days
@tiffanynhouston i wish it was my cell! lol i miss my blackberry! no cell here.	@tiffanynhouston-i
why did i have 8 shots of blackberry stoli last night.. now i have to skip the gym	blackberry-stoli last-night
@dentaldiva1 probably tonight i think i got it working on my blackberry but i need to get off twitter and do some work in the real world	@dentaldiva1-i blackberry-need real-world
@zackarydoo   if only the blackberry  server would actually let me get anywhere   ugh	blackberry-server
dropped my blackberry bold today and it landed on the only side that is not protected by the case [sods law]... she's scratched - gutted	bold-today only-side case-law -LSB--law sods-law
i want a new phone  are blackberrys any good?	new-phone
so i'm hating this freaking tiny twitter for blackberry... and i would use twitterfon that i have on my ipod touch but no wifi out here	twitter-freaking tiny-twitter ipod-touch
twitter on blackberry sucks ! i cant upload twitterberry	i-twitterberry cant-twitterberry upload-twitterberry
the #blackberrystorm update took away a good feature...i cant switch between vibrate and sound by pressing the button on top right.	#blackberrystorm-update good-switch feature.i-switch cant-switch top-right
ball is not clicking on my blackberry!  &amp;&amp;im in so much pain!!!!	much-pain
i gotta say buh bye to my blackberry tomorrow  &amp;get another new one! i wish they'd just give me the right one &amp; make sure it ain't broken!	buh-bye blackberry-tomorrow new-one right-one
just found out that my new blackberry hasnt got a camera !  ow well. i need starbyysss; i am addicted	new-hasnt blackberry-hasnt
@jlock i twitter on my blackberry using ubertwitter...its an addiction	i-twitter
why is my blackberry and twitter not co-operating today?!	co-operating-today
went through my blackberry and deleted some contacts....i went from 674 to 581...	674-581
i really want 2 watch the tony awards. unfortunately i won't b able 2  does anybody know if u can watch them live on ur blackberry?	tony-awards able-b ur-blackberry
i need service for my blackberry.   but i dont' want to hurt my pockets. lmao  i think i'm gonna go buy a cheap ass go phone soon.	i-dont pockets-lmao cheap-ass
stupid blackberry. cant get it to send or receive txt or email. just stopped all the sudden. tried taking batt out/*228 nothing	blackberry-cant
this phone isnt letting me twit pic ... cant wait to get my blackberry	pic-cant
is in aruba and my blackberry doesnt work   happy birthday to meee!	blackberry-doesnt happy-birthday
just lost all my contacts in my blackberry  if you have the number text me with name and your pin	number-text
@missbriewright trying to...can't domuch of nothing without my blackberry!  thanks though..i will try	t-domuch blackberry-though.i thanks-though.i
@kiing_dadii82 oh ok. i kinda thought so lol. im still tryna get a blackberry lol. they wont let me upgrade	oh-kinda ok-kinda i-kinda tryna-im blackberry-lol
somehow did a hard reset on my blackberry and managed to lose/move/mess up/disable everything....	hard-reset everything-managed up/disable-everything
@pinkpenguintoes fuck! i grabbed the wrong charger when i left i'll have to get it tomorrow  at least i have the blackberry as back up :/	fuck-i wrong-charger
what does it mean to &quot;compose pin&quot; on a blackberry mean?! i don't understand!  help please..	mean-i
i hope i get a phone.  i really want 1 like @apetagon17 [blackberry] so i can keep up with this sh..stuff. ha	i-i hope-i @apetagon17--RSB- -LSB---RSB- blackberry--RSB- sh.stuff-ha
@tlockemy i can't figure out how to follow her on my blackberry	@tlockemy-i
@thisismyiq i can't read it on my blackberry	@thisismyiq-i
@talluluhbella it doesnt work chick i hate to tell you! the twitpic doesnt work on blackberry well it didnt on mine  xxx	work-i chick-i doesnt-work mine-xxx
flickr uploader will not let me post a photo from my blackberry any more	flickr-uploader
error 523 on the crackberry this morning...not looking good  #blackberry	morning.not-this good-#blackberry
@blackberrygirl7 thank u i will - poor thing can't go 2 her last day of school 2day	u-i poor-thing last-day school-2day
need camera advice on my blackberry.	camera-advice
argh being forced to take a blackberry by work. not good. i have always supplied my own nokia for use on the company contract bye bye n96	own-nokia company-bye contract-bye bye-n96
@jasonarmistead received many shoutout for tweetie.  but i have a blackberry   i love it other than for using the web	many-shoutout blackberry-i
the brickbreaker game on my blackberry use to chill me out when i was pissed. now it just pisses me off more cause i keep losing.  fml	brickbreaker-game losing-fml
busy weekend. barely tweeted at all.   i wish i could afford a	busy-weekend
@love_crosby87 i wanna buy a kris letang autographed blackberry curve	@love_crosby87-i autographed-curve blackberry-curve
breaking my blackberry pearl..  anyone got an old spare stuck in a drawer not getting used? help!!!	old-stuck spare-stuck
finally at home. chillin. called tmobile. options.  blackberry i love you since the moment i first layed hands onyou.	i-tmobile i-hands first-hands layed-hands onyou-hands
#blackberry app world leaves a lot to be desired  hope it gets better over time...	#blackberry-world app-world
my blackberry is on its last leg	last-leg
i think my keyboard on my blackberry bold is wearing out.  i've only had it since jan 1st!	blackberry-bold
still no internet on my blackberry.  verizon ok'd service before travel	blackberry-ok verizon-ok
@derekbenoit why are you unavailable on blackberry messenging! i add you to talk	blackberry-messenging
*cries* i scuffed up my blackberry	cries-i *-i
it's getting difficult to type on my blackberry with long fingernails	long-fingernails
@oxemalieexo moose just likes the forbidden fruit of tweeting from matt's blackberry!  i understand the pissy mood  good luck!	@oxemalieexo-moose forbidden-fruit pissy-luck mood-luck good-luck
's blackberry is bent where you plug in the charger. got to get it reparied tomorrow. until then	reparied-tomorrow
interesting: a &quot;lime world&quot; icon has popped up on my blackberry. i wonder what it does. i'm curious	lime-icon world-icon
kinda wants a new fone but doesn't know what will ever replace his blackberry  ...for now-its time to sleep!!!	new-fone now-its-time
i left my blackberry at work and am suffering from some pretty intense withdrawal.	intense-withdrawal
well since the 9500 blackberry storm will b about as much as itll cost me 2 upgrade 2 the 3gs mid contract might as well stick w/ at&amp;t	blackberry-storm 3gs-contract mid-contract
fixing my uberrr lagging blackberry! lots of apps to reinstall	blackberry-lots
i had to fish my blackberry out of the toilet today!	toilet-today
i've been going a little crazy downloading stuff on my	crazy-stuff downloading-stuff
@mysensation my mistake on my blackberry you pic looks like a girl i graduated with. my screen is too small	pic-looks i-graduated
is disappointed that the new blackberry coming to t-mobile will actually be a downgrade from the one i have	new-blackberry
is almost famous!!! and wonders if i can blackberry message people that live in the states?? hmmm to bad i don't know anyone	message-people bad-i
@crazypabz u got an iphone? what happened to our blackberry pride?	@crazypabz-u blackberry-pride
@nimatime  blackberry® i actually applied but they said i had 2 move 2 canada 4 the position i wanted  kinda sad... i$h crackberry addict	canada-4 h-addict
@tasjaa yeah.  i've been trying to google how to get my blackberry messenger to work. it's so annoying!	@tasjaa-i yeah-i blackberry-messenger
@feblub they just appear as black squares on my blackberry with twitterberry	black-squares
lindsay lohan took a photo of herself topless with her blackberry then posted it to twitter for the world to see	lindsay-lohan
i lost my blackberry    pitty   they making calls as well since im negotiating to give me back	blackberry-pitty
would love to know why google chat doesn't work on her blackberry ...	google-chat
my blackberry is fucking up. it keeps auto deleting text messages and emails.  everytime i pick it up	keeps-auto deleting-messages text-messages
nooooo critical error my blackberry is dead! now need to send a exchange out	nooooo-error critical-error
replacement handset for my blackberry comes tomorrow. they are sending me exactly the same one. curve 8320 how is this even possible?	replacement-handset same-one
@pinkberrygirl its just iam going to have to turn off the blackberry service coz it will cost to much so ill be limited to phone and text	just-iam blackberry-coz service-coz
i just want my trackball to get unstck. this is the onlý downside to blackberrys	onlý-downside
is looking to get twitter on her blackberry... anyone know how? tinytwitter failed me	blackberry-anyone
agreed.. @pabbas: craving for new blackberry device. the 8520 gemini is not so attractive though	new-device blackberry-device
just posted up at work....my twitter on my blackberry still isnt working	work.my-twitter isnt-working
broke my phone this am  luckily my host mom has an old blackberry she's letting me stash my sim card in it. thanks steph!!	host-mom old-blackberry sim-card
dear #squarespace..i am on vacation and my blackberry committed suicide..please o please pick me for the iphone!	blackberry-o committed-o suicide.please-o
@arkatechbeatz lol me 2 i have no problems with ubertwitter !! twitterberry f'kd my blackberry up	@arkatechbeatz-lol
i feel like an idiot...i can't figure out how to change the little message noise on my blackberry	little-noise message-noise
has his blackberry back but twitterberry doesnt work to good on the storm	blackberry-work
needs to hurry up &amp; get a blackberry to twitter. why are men confusing people!!...damn im falling for you!!!!!!  x	people.damn-im im-falling
@markmathson but no blackberry support	blackberry-support
all this old shit on my blackberry caught me off guard.got rid of calender dates	old-shit calender-dates
wondering why my blackberry isn't receiving tweets?!? no updates since last night.   i need my tweets!	last-night
@silverahnia it can't be done babe sorry  unless it's a blackberry storm	blackberry-storm
&quot;i suspect those poor blackberry users are seriously gonna have to eat their hearts out	poor-users blackberry-users
i am doing #gno from my blackberry...definitely more challenging	challenging-blackberry.definitely
@iamspeedy it looks kinda weird on tv. i think i'll wait 4 a cooler pda phone. (touch pro 2??) i want a blackberry tho!	phone-cooler pda-phone blackberry-tho
@binkyveloria hey!! i liked my blackberry!  lol	@binkyveloria-i hey-i blackberry-lol
@lilstevieirk uhh ubertwitter for blackberry. its new to me  http://myloc.me/46nc	new-http://myloc.me/46nc
@annabethblue that's a really cool feature. hopefully you'll get a blackberry version. still no contacts like twitterena	cool-feature blackberry-version
my pics from #140conf today: http://bit.ly/141z0v - sorry about the poor blackberry bold shots. left my sd card for proper camera at home	sorry-shots poor-blackberry bold-shots sd-card proper-camera
blackberry wont charge...call the house	blackberry-charge.call wont-charge.call
@sabatheg k will let u know hun and don't use twitterberry use ubertwitter !! twitterberry will freeze ur blackberry up	@sabatheg-k use-ubertwitter ur-blackberry
searching for the best #blackberry apps. i miss pirette	#blackberry-best apps-i
ahhhh i want my blackberry!!!! .. back to econ.. and psych	back-econ
is lovin picture2life.com!!! y all fun apps r for iphone and not blackberry??!!	lovin-picture2life.com y-fun iphone-blackberry
hasn't had time for the net i need my blackberry back i miss it	net-i
@emilykatvon jealouss. i just bought a blackberry bold n i think im regretting  coz it turns out the curve 8900 is better! noooo	@emilykatvon-jealouss blackberry-n bold-n im-coz coz-regretting
turns out i already have the latest os version for my blackberry. sorry i ever doubted u baby	version-latest os-version u-baby
i'm attempting to upgrade my blackberry.  this usually causes it to either crash or refuse to accept incoming messages.	incoming-messages
anyone successfully deployed software to handsets via blackberry professional server.  index isnt finding anything	blackberry-isnt professional-isnt server-isnt index-isnt
@chuggalove blackberry or iphone?  i wanna stay true to apple	@chuggalove-i
just went to the eye doctor. it makes reading my blackberry impossible!	eye-doctor
@supaontheradio awww man if i had a blackberry	@supaontheradio-man awww-man
is still spinning my blackberry - theres a darkhole at the backside of this golden curve!	golden-curve
@kimibananas new iphone 3g ooooor blackberry lol i got so used to have internet everywhere	new-i iphone-i 3g-i ooooor-i blackberry-i lol-i
@lindsayjrussell i want a blackberry bold   lol but there isn't anything wrong with me.	@lindsayjrussell-i blackberry-lol bold-lol
@nicekicks  unfortunately the new servers or whatever you guys changed is not so blackberry browser friendly  your page won't load	new-servers
what do u do if ur ball in ur blackberry isn't scrolling down?	ur-ball ur-blackberry
@anddh i want a blackberry so much but i can't find the one i want here in brazil.. that sucks.	@anddh-i
@guardiantech getting &quot;http 413 request entity too large&quot; error when accessing your links on my blackberry. can't read stories	http-413
hi twitter-mates! just installed a twitter app on my new blackberry. haven't tweeted in ages! my service doesn't do iphone.	new-blackberry
@shayminn i tried sweetheart but it won't play on my blackberry! i'm sad now!	@shayminn-i
why can't i have a twitter application on my blackberry?	twitter-application
i very much dislike the new facebook application for blackberry	new-application facebook-application
@drewdatrip dont worry man. you can still multitask the 5 blackberry apps. iphone users can only single task the 50000 apps we have	@drewdatrip-dont iphone-users single-task
@aefix i wish i had a blackberry	i-i wish-i
im so bored that i think i'm going to stick firecrackers in jelly donuts. sorry folks-i can't take topless pics-i dont have a blackberry	jelly-donuts topless-dont pics-i-dont
lost my blackberry messenger contact list. please add me again	blackberry-contact messenger-contact list-please
my blackberrys trackball broke  i should get a new one tomorrow though	blackberrys-trackball new-tomorrow one-tomorrow
@lostinseoul i can't even look online to find recipes   my blackberry is my only connection to the world!	@lostinseoul-i only-connection
@tsuggs721 my blackberry. it is freezing and dying	my-blackberry
@nicolle77 nope. not at all.	@nicolle77-nope
@myfabolouslife happens 2 my stupid blackberry all the time	stupid-blackberry
i hate this new phone i got i miss my blackberry  i think im a have 2 go get the new blackberry touch fuck a samsung!!!!	new-phone have-go new-touch blackberry-touch
mad because metro pcs just added the blackberry for 450$. would buy it but just got a new phone a couple months ago	metro-pcs 450-$ .-$ new-phone couple-months
i'm so lost how do i use twitter on my blackberry bold	blackberry-bold
i updated from my blackberry like 10 times in the past couple days. and it hasn't been sending  how lame!!	10-times past-days couple-days
@djremedy8 buuuutttt....if you had a blackberry then we could have bbmed....bummer	@djremedy8-buuuutttt.if
blackberry bold or new iphone. i don't know which on to get on friday  haha	iphone-i friday-haha
i get really sad when no one texts me.... i'm a textaholic  the curse of the blackberry	textaholic-curse
@ericssan nope. digi doesn't have blackberry service.	@ericssan-digi nope-digi blackberry-service
really annoyed with my internet connection! blackberry internet isn't the same	internet-internet connection-internet blackberry-internet
getting up to review jay's new work because my blackberry has limits	new-work
can't sleep. i had that chance with that chunky monkey.. missed it.  stupid blackberry phone!	blackberry-phone stupid-blackberry
how did i manage to leave with only one phone today?!?!  what the heck am i supposed to do without my blackberry allllllllll day	phone-today blackberry-day allllllllll-day
buy me a blackberry curve	blackberry-curve
i just dropped my blackberry in a craft store  &amp; scuffed a brand new pair of heels. times are not good!	craft-store brand-pair new-pair
wishes the oven worked so i could make apple and blackberry pies	apple-pies
not happy her blackberry sucks right now...i need a phone that works 24/7	right-now.i
i wish people would see iphone potential instead of the blackberry!!	iphone-potential
gotta pay the internet bill  so now ima just be on my blackberry	ta-pay internet-bill
i wish i wasn't switching to verizon later in the year so i could get the iphone  i guess the blackberry storm will do..	i-i wish-i iphone-i blackberry-storm
which is better and money worthy? iphone or blackberry? i'm currently using iphone but my baby andre(iphone) has been bitchy towards me	money-worthy baby-andre
last twitterberry update  done with blackberry's. going to get either an iphone or a sidekick	twitterberry-update
i want a blackberry or a sidekick soo bad	sidekick-soo
r.i..p laptop  ..buy my blackberry bold plan is active add me  &gt;&gt;&gt;&gt; 20e28757	r.i.p-laptop blackberry-plan bold-plan >-20e28757 >-20e28757 >-20e28757 >-20e28757
@danache @mz_lala8701 i'm having trble replying back to ppl on my blackberry what am i doing wrng help!!!! i can only do it from my pc	@danache-i @mz_lala8701-i help-i
dead feet from work! another 3 days worth though! i'll run out of outfits haha. i reaaally wish i had a blackberry	worth-feet haha-i
@technosailor good story about blackberry &amp; location services.  palm pre battery would have died long before you could ever locate it.	good-story location-services palm-battery pre-battery
am having some td uploading a photo of my linebacker bumblebee sized blackberry cobbler!	linebacker-bumblebee blackberry-cobbler
i want the new 3.0 for my blackberry	new-3.0
@uchimanelaflare i got the blackberry 8330 not the storm	blackberry-8330
realized he doesn't use his blackberry that much because he misses his uber cool sidekick.	uber-sidekick cool-sidekick
@davewhitehouse got catch the really train to microsoft in the morning 2 hours of bad coffee and blackberry users	bad-coffee blackberry-users
in the need of a new phone  and my blackberry cost too much	new-phone blackberry-cost much-cost
trackball fell out of my blackberry  anyone know where i can get it fixed????	blackberry-anyone
wish i could write articles on my blackberry  anyone got a cheap laptop for sale?	blackberry-anyone cheap-laptop
just dropped my blackberry.    everything seems 2 be o.k.........	blackberry-everything
celcom customer service sucks. my blackberry email after 6 days is still not working but yet they took money from me!!	celcom-service customer-service blackberry-email
blackberry tour comes out for telus on july 15th. should i switch to that one? i really loved my storm though.  :/ what to do?	blackberry-tour july-15th one-i
so mad i lost my lil blackberry cover	mad-i lil-cover blackberry-cover
omg. spilled a nice amount of blackberry bliss smoothie in my messenger bag. washing my precious custom timbuk2 for the first time	nice-amount blackberry-bliss messenger-bag precious-timbuk2 custom-timbuk2 first-time
@ssjtapkar ah! yeah. this is a major failing with the blackberry.	ah-yeah major-failing
how is it that blackberry's dont have wifi	have-wifi dont-have
i miss my old blackberry  i don't like the fonts on this.	old-blackberry
@rmiriam i already started drinking alone  #pastthepointofnoreturn #icantfigureoutdmonmyblackberry	#pastthepointofnoreturn-#icantfigureoutdmonmyblackberry
@swaqqsoosiqk i canttttttttt!  i can't focus! and my blackberry got a hold on me right now	canttttttttt-i
right now i am trying to figure out why i cant open up attachments frm emails on my blackberry  n e suggestions?	i-cant attachments-emails frm-emails blackberry-suggestions n-suggestions e-suggestions
i think that blackberrys are the best phones ever made... but i want the new iphone 3g s.	phones-best new-s. iphone-s. 3g-s.
playing brick breaker on my blackberry. cause i can't sleep	breaker-playing brick-breaker blackberry-i cause-i
* wow.  i just randomly lost all text messages i had sent and received between 7:04pm and 11:19pm.  gooo blackberry curve.    lame.  #fb	text-messages gooo-curve blackberry-curve
@lainelepoidvin lol i wasn't sure if i had you on here already! i tweet from my blackberry and i can't search people!	@lainelepoidvin-i lol-i here-tweet i-tweet
i think the life of my blackberry is done. cracked screen	screen-cracked
can't believe there's no proper twitter app for blackberry! twitterberry/tinytwitter both suck.	proper-app twitter-app
cant wait till i get my blackberry back on monday *fingers crossed* .. i miss twitter and facebook wen on my travels  xx	twitter-wen
aww i want nokia e series/samsung omnia  or a blackberry !!!	aww-i nokia-e
hate all the crap that comes with a new phone -we have the iphone 3gs and a blackberry curve 8900 and about 100 bits of plastic and paper	new-phone iphone-3gs 8900-curve
im depressed because my blackberry is still broken and i cant prove the new ubertwitter  movistar suckssss!	i-cant new-movistar ubertwitter-movistar
i want a blackberry sooo bad!  help meehh! xdd	blackberry-sooo
@shegotbaggage i would say the g1. i have the behold and i'm def thinking of going back to my blackberry just three months in. behold =	g1-i behold-=
@shegotbaggage i would say the g1. i have the #behold and i'm def thinking of going back to my blackberry just three months in. behold =	g1-i behold-=
@thurrott i like tweetdeck (much better than thwirl) - no blackberry client	blackberry-client
cell phone is frozen and dead. blackberry vs iphone hmmmmmmmmmm.  i don't want to buy a new phone already.	cell-phone blackberry-hmmmmmmmmmm vs-hmmmmmmmmmm iphone-hmmmmmmmmmm new-phone
i'm about to throw my blackberry at something. it's annoying me  i want an curve 8900. btw fuck tmobile too.	curve-fuck 8900-fuck btw-fuck
you would think blackberry pomegranite yogurt would be good	blackberry-yogurt pomegranite-yogurt
i love my blackberry soo much! it has every thing i need and want! buttttt spencer makes me want an iphone!!!	buttttt-spencer
why won't the blackberry app world let me make a purchase   #blackberry  #fb http://myloc.me/4tix	blackberry-world app-world purchase-#fb #blackberry-#fb
@jhef iheartradio worked 1st day i loaded it but hasn't worked since now can't get it off my blackberry  ideas?	@jhef-iheartradio 1st-day blackberry-ideas
should i go for a blackberry curve 8300 or a blackberry curve 8900 ???  i can't decide	blackberry-curve blackberry-curve
scratched my blackberry screen and i am very upset.	blackberry-screen
everyone has iphones wtf! all i keep seein r posts from their 3gs iphones  all i have is a blackberry wahhh oh well out of work goin home	seein-posts r-posts 3gs-iphones wahhh-oh work-home goin-home
i tried to green-ify my avatar from my blackberry and now i just have a green box	green-box
i cant take it anymore!! im gettin a blackberry!!!!	i-cant
@ginatrapani i'm not buying a new iphone b/c my wife and i foolishly bought blackberrys the day before pricing came out	@ginatrapani-i new-b/c iphone-b/c
i totally dropped my blackberry sheath at the bus stop at haight/baker this morning	blackberry-sheath bus-stop
i wish i could get rid of the &quot;sent from my verizon wireless blackberry&quot; signature on bb emails. but vzw has it locked.	i-i wish-i verizon-blackberry wireless-blackberry bb-emails
so my blackberry cuts on but the buttons dont work  anyone know of any blackberry repair shops?	buttons-anyone dont-anyone work-anyone blackberry-shops repair-shops
i hope the bootlegger got a damn phone charger for sale cuz my blackberry is dying.	damn-charger phone-charger
my blackberry subscription expired...so much for ticking the calender and calling the cow at customer care....stuck on the internet	blackberry-expired.so subscription-expired.so customer-care.stuck
@azrael2393  maybe this works: http://web189.server7.webplus24.de/blackberry.3gp	@azrael2393-works works-this
#bummer! #csl page says: #blackberry handheld software v4.6.0.477 (eastasia)	#bummer-page #csl-page #blackberry-v4 handheld-v4 software-v4
@thestafford oops! darn blackberry keyboard. i hit &quot;k&quot; instead of &quot;l&quot;	blackberry-keyboard
i'm lodged between the blackberry bold and the #iphone 3gs  ofcourse.	blackberry-bold #iphone-ofcourse 3gs-ofcourse
@wrecklessly_his bahah! whateva dude! txt me now plz so i can have your #. i dropped my blackberry in the washer.	bahah-dude whateva-dude
i've got the iphone glenn  wished i had chosen the blackberry now	iphone-glenn
@sixapart why can't i get the typepad app for my blackberry!?	typepad-app
wife's blackberry took a little bath today.  guess we know where my 3gs upgrade is going to be used if the bag of rice doesn't help	little-today bath-today 3gs-upgrade
switched from a blackberry to an iphone 3gs tonight.  but someone tell me i will learn to like the iphone &quot;keyboard&quot; change sucks	3gs-tonight iphone-change keyboard-change
i'm getting a blackberry so i don't miss anything anymore! still pretty bummed i missed the chance to win tix to gavin degraw	pretty-bummed gavin-degraw
understand* i so fail at blackberrys	*-i
@zoloworld r.i.p red blackberry	red-blackberry
#dontyouhate when yourr battery on your blackberry is low &amp;the radio signal turns off &amp;you cant get txts or calls?  or is that jst mine?	yourr-battery radio-signal jst-mine
@sebastianmego and siri is downtown? i never heard of it. upgrade your phone man! i do too. i want a blackberry though. still not driving	downtown-i man-i
lip gloss finger and blackberry scroll ball finger need to be different fingers	lip-finger gloss-finger scroll-finger ball-finger different-fingers
@bbgeekchic  i have not been a happy camper today.... blackberry has been	@bbgeekchic-i happy-camper today-blackberry
my scrolly bar on my blackberry wont go up - help me before i go insane	scrolly-bar blackberry-wont
@wyldceltic1 i'm waiting til nov26 to get mine  stupid blackberry upgrade!!!	@wyldceltic1-i til-nov26 stupid-upgrade blackberry-upgrade
so my blackberry trackball housing popped out and broke apart. i reassembled but its barely working. this is killing me!	trackball-housing
to all the gtd folks out there... i need a faster way for input on my blackberry? i'm finding it faster to jot on paper and re-transcribe	gtd-folks way-faster
@brad_newman yikes... i did that with my iphone after only having it for a few weeks.   the blackberry is so much better anyway!	@brad_newman-i yikes-i few-weeks
awww i wish i had a data plan for my blackberry	i-i wish-i data-plan
i dropped my brand new blackberry in the toilet!!!! i'm on my curve right now.	brand-blackberry new-blackberry
@ahtootahluhr thanks mama! lights still out &amp; blackberry 1 is dead &amp; blackberry 2 is dying now i'm really sad  hope all is well with u!	mama-lights out-lights
my blackberry battery died!	blackberry-battery
is up.... too early.... god damn the blackberry alarm - its a saturdayyyyyyyy!!!	blackberry-alarm
blackberry is having issues. i should start using that new battery..!	new-battery
@phongdang new blackberry tour out in july...no wifi tho  thing looks sick	new-tour blackberry-tour july.no-wifi tho-thing
@pepsitron does you web browser on your blackberry take forever to load stuff or is mine just not working?	web-browser load-stuff mine-working
uber twitter on my blackberry is not working!	uber-twitter
